Ward,long,lat
Short Heath,-2.0360899,52.60015869
Kingswinford South,-2.1623199,52.49221039
Handsworth,-1.92967999,52.50796127
Blakenhall,-2.12835002,52.56919861
Kingshurst and Fordbridge,-1.74944997,52.48402023
Castle Bromwich,-1.77687001,52.50701904
Lye and Stourbridge North,-2.12039995,52.46139145
Handsworth Wood,-1.93814003,52.5216217
Wainbody,-1.54638004,52.37779999
Shirley South,-1.81746995,52.39756012
Kingswinford North and Wall Heath,-2.17351007,52.50408173
Paddock,-1.95220006,52.5723381
Whoberley,-1.55236995,52.4115181
Shirley West,-1.83905005,52.40945053
Bournbrook & Selly Park,-1.92332995,52.43857956
Spring Vale,-2.10526991,52.55358887
Hall Green South,-1.84597003,52.41781998
King's Norton North,-1.94143999,52.40571976
Edgbaston,-1.92726004,52.45951843
Cradley and Wollescote,-2.09721994,52.45671082
Wyken,-1.45246994,52.41453934
Tividale,-2.04718995,52.50315857
Fallings Park,-2.09581995,52.61326981
Rushall-Shelfield,-1.94833004,52.61180878
Streetly,-1.89289999,52.57341003
Sherbourne,-1.53895998,52.41693878
Frankley Great Park,-2.01188993,52.40404892
Willenhall North,-2.03765011,52.61199951
Dorridge and Hockley Heath,-1.76757002,52.3705101
Sutton Wylde Green,-1.82006001,52.54396057
Sutton Four Oaks,-1.85126996,52.58652115
Rubery & Rednal,-2.00531006,52.39102936
Upper Gornal and Woodsetton,-2.10505009,52.5321312
Sutton Mere Green,-1.83135998,52.59725189
South Yardley,-1.81184006,52.45785141
Lower Stoke,-1.47449994,52.40531158
Newton,-1.955295773,52.54431692
Soho,-1.904809,52.487427
Selly Oak,-1.933465,52.436049
Lozells and East Handsworth,-1.9052,52.50271
Weoley,-1.952574,52.438054
Stechford and Yardley North,-1.816365,52.475595
Kings Norton,-1.919185,52.412098
Washwood Heath,-1.857709,52.492771
Bournville,-1.932732,52.42372
Longbridge,0.093615,51.54441833
Hodge Hill,1.810797,52.491827
Sparkbrook,-1.8712,52.462
Brandwood,-1.89726996,52.42573929
Moseley and Kings Heath,-1.88256,52.4351
Sutton New Hall,-1.784602,52.567382
Tyburn,-1.80261365,52.52511923
Springfield,-0.06435,51.57389069
Hall Green,-1.857003,52.421351
